ru,lez
Какой длинный день!,Вуч яргъи югъ я!
"Я не знал, куда иду.",Заз чизвачир гьиниз физватIа
Я сосредоточена на работе.,Зун к’валахдал мачхул я
"Я знаю, что вы этого ещё не сделали.","Заз чизва хьи, куьне им гьеле авунавач."
Он невероятно быстро говорит.,Ам гьерекатиз рахадайди я
Я не смогла поужинать с Томом.,Завай Томахъ галаз нез хьанач.
Я буду говорить по-французски.,За француз чӀалал рахада.
Я бухая.,зу пьянзва
"Врачи сделали, что смогли.",Духтури чпигай вуч жезват|а авуна
Слишком маленький?,Лап гъвечIиди яни?
"Думаю, Том меня понял.","Фикирзва, Том зи гъавурда  къуна"
Ты из Нью-Йорка?,Вун Нью-Йоркдай яни?
"Если ты мне не напомнишь, то я, вероятно, забуду.","Вуна зи рикӏел хкун тавуртӏа, мумкин я рикӏелай алатун"
Я помог перенести те сумки.,За куьмек гана а чантаяр хутахиз
Мой старший брат смотрит телевизор.,Зи чiехи стха телевизордиз килигзава
"Вы, должно быть, голодны.","Квез, заз чиз, гишинзава"
"Я никогда не видел никого, кто знал бы так много об античной истории.",Заз садрани икьван хъсандаказ цӀуру тарихдикай чирунар авай кас акурди туш
"Я тебя предупреждал, насколько это будет опасно.","За ваз лагьайди тир , им гьикьван хаталу жедатlа"
Я иду туда в понедельник.,Зу физ гьаниз ислен къуз
"Работай так, как если бы тебе не были нужны деньги.",Ваз пул герек тушир хьиз кӀвалаха.
Что ты пытаешься сделать?,Вун вуч ийиз  алахънава?
Я не хочу ходить в джинсах.,Заз к|анзавач къвекъез джинсар алаз
Том налил яблочного сока в стакан.,Тома ичин меже истикандиз цвана
На вас никто не смотрит.,Квез садани килигзавач.
Сколько лет ты играешь в гольф?,Шумуд йис я ву гольф гъугъваз?
Поезд скоро приедет.,Са герендлай поезд къведа
"Лифт не работает, так что нам придётся пойти пешком. Хорошо хоть, всего два этажа!","Лифт кӀвалахзавач, чун кӀвачи-кӀвачи фин герек я. Хъсан хьи, анжах кьве мертеба."
"Что это за язык? - ""Берберский"".","Им гьи чIал я? - ""Берберрин""."
"Когда я сочиняю стихотворения, слова словно приходят откуда-то извне.","За шиирар т|уьк|уьрдайла, гафар къецихъай къвезва"
Вы хорошо её знаете?,Квез ам хъсандиз чизван?
"Она сделает это, если ты ей заплатишь.","Вуна пул гайит1а, ада им ийида"
"Придёт время, и ты узнаешь.",Вахт атайла ваз чир жеда
Три года - это очень много.,Пуд йис гзаф я
Ты можешь закончить работу через два дня?,Вагай к|валах кьве йикъалай куьтягь жедан ?
"Группа американских архитекторов, дизайнеров, инженеров и учёных разработала семь принципов универсального дизайна.","К|ерет| америкадин к|валер эцигунин ва туьк|уьрунин рекьяй,инженерар ва муалимар,туьк|урна ц|ийи ирид сеферда артухан ц|ийивилер"
Мир не вертится вокруг тебя.,И дуьне са валай элкъвенвач
Зачем ты показал это Тому?,Вучиз вуна къалурна ама Томаз?
Я помыл посуду.,За къапар чуьхвена.
Они мешают пройти.,Абуру физ къакъадарза
Вы знаете как?,"Квез чизван, гьикӀ?"
Том нравятся походы.,Томаз финифар кIанзава.
"Это было просто предложение, а не приказ.","Им гьакlан буюр авун тир, буйругъ ваъ"
Вам не нужно делать это прямо сейчас.,Квез герек туш исятда авун
"Том сказал, что это Мэри ему об этом рассказала.","Тома лагьана хьи, Мэриди адаз идакай рахана."
Я планирую эмигрировать в Австралию.,Заз Австралиядиз куьч жедай фикир ава
"Привет, я Мария. Как тебя зовут?","Хийирар, зун Мария. Ви т1вар вуж я?"
"Нет, я этого не сделал.","Ваъ, за авурди туш"
"Клянусь, я только что видела снежного человека!","Кьин кьазва, заз исятда живедин инсан акуна!"
"Не знаю, хорошо ли это.","Заз чизвач, им хъсан ятӀа."
Что у тебя во рту?,Ви сиве вуч ава?
Вы узнали Тома?,Квез Том чир хьанан?
"Я знаю, что я ему нравлюсь.",Заз чизва адаз закай хуш къвезва.
Она вам звонила.,Ада квез зенг авунвай
Я забыл ключи от машины.,За машиндин куьлегар рикӀелай алуднава
Том не может войти.,Томавай гьахьиз жезвач
Я очень устал от плавания.,Зун сирнав авуникай галат хьанва.
Почему тебе нужно было ехать в Бостон?,Ваз вуч патал герек хьана Бостондиз физ?
Том остался снаружи.,Том къацел амукьна
Дай им шанс.,Це гьабуруз мумкинвал.
Почему вы не показали её Тому?,Куьне вучиз ам Томаз къалурнач?
"Том слишком молод, чтобы знать правду.","Том жегъил я , гьакьикъат чир жедайвал"
Если хочешь пойти с нами - пожалуйста.,Эгер чахъ галаз къвез к1анзат1а- буюр
Том отремонтировал мою машину.,Тома зи улакь туькIуьрна.
Кошка может видеть в темноте.,Кациз мичIивилени аквада.
У старика была длинная седая борода.,Кьузеказ яргъи рехи чуру авай
Я сказал ему никому не рассказывать.,За адаз садазни ахъаймир лагьана
Я хочу научиться играть на барабанах.,Заз барабанрал къугъваз чириз к|анзава
Найдите Тома.,Жагъура Том.
Это теперь пусть Том решает.,Им гила Тома авурай
"Скажи Тому, что мы делаем всё возможное.","Лагьа Томаз,чна вири ийизва жедайвал"
"Вы хотите, чтобы мы помогли?",Квез чна куьмек гана к1анзавани
Где вы сделали эти фотографии?,Куьне гьина авун и шкилар?
Это не должно повториться.,Им тикрар хьана кIандач.
"Мы знаем, что бросить курить трудно.",чаз чизва чуг1ун тун четинд ян
"Не торопись, - добавил он.",Тади ийимир - лагьана ада
"Откуда ты знал, что Том лжёт?",Ваз Тома тапарарзавай чlал гьинай чизвай?
Я чуть не забыл это сделать.,Са т|имил амай им ийиз рик|елай алатиз.
Я ни о чём не хочу вас спрашивать.,Заз квевай са затӀуникайни хабар кьаз кӀанзач.
Вам надо было его взять.,Куьне ам кьуна кӀанзава.
Том не обращает на меня внимания.,Тома зун кваз кьазвачир.
Полицию было вызывать слишком рано.,Полициядиз эвериз гзаф фад тир
"Я думал, ты в Австралии с Томом.","За фикир ийизвай, вун Австралияда ава Том галаз."
Мэри в безопасности.,Мэри саламатда ава
Кто ходил с вами в музей?,Квек галаз вуж фена музейдиз?
Это никогда не приходило мне в голову.,Им заз садрани фикирдиз атанвачир.
"По-моему, он плохой человек.",Зи фикирдалди ам пис инсаня
"Я думал, мы можем это сделать.","За фикир ийизвайтир, чавай им ийиз жеда."
Это все знают.,Им виридаз чизва
Волки воют на луну.,Бацlари къув язава вацраз
"Если ты знал об этом, то почему нам не сказал?",Ваз идакай чизвай тиртӀа. вуна чаз вучиз лагьанач?
Он был со мной.,Ам захъ галай.
Кто ей помогает?,Гьадаз ни куьмекзава ?
Это имя мне ни о чём не говорит.,А т1варц1и заз са зат1ни лугьузвач.
"Ты ненавидишь его, не так ли?","Ваз ам дакIан яни, акI тушни."
"Я знаю, что Том сумасшедший.",Том дилиди тир чӀал заз чизва.
Мы все умираем.,Чун вири рекьизва
Они японки?,Абур япониядин дишеньлияр ян?
"Я понял, что это было ошибкой.",Гьам гъалатI тирди зун гъавурда акьуна.
У тебя рубашка наизнанку.,Ви перем акъахь патал алукIнава.
Теперь ты взрослый.,Гила вуч ч1ехи хьанва
Ты кому-нибудь рассказала об этой проблеме?,На и четинвилерикай са низ кьван хьайитIани лагьанани?
В чём дело?,Вуч кар я?
"Вы правы, Том.","Вун гьахъ я, Том."
Когда вы будете этим заниматься?,Куьн идав мус машгъул жеда?
Меня все любили.,Вирибраз зун кӏанзвай
Они острые?,Абур хци яни?
Подождите ещё несколько дней.,Са кьвед пуд югъ акъваз хъия.
"Я знал, что найду тебя.",Заз чизвай вун жегъидайди.
Мне не хотелось покупать машину.,Заз машин къачуз к|анзвачир
"Он сказал мне, что сделает это завтра.","Ада лагьана заз,вичи пака ийида гьа кар."
"Выбери одного человека, пожалуйста.",Са инсан хкягъа
Том взял кофейник и налил себе чашку.,Тома кофейник къачуна вичин къапуна цана
Этот человек украл у меня бумажник.,И инсанди зи йикъардан чӀунухна
Где машина Тома?,Томан машин гьина ава?
"Я рад, что кто-то смог тебе помочь.","Зун шад я, ваз са ни ят1ани кутаем Гана"
Как быстрее всего мне добраться до Манхэттена?,Гьик! фад физ жеда загай Манхэттендиз
Почему Том такой счастливый?,Том ихьтин бахтлу вучиз я?
Тебе больше нельзя этого делать.,Ваз мад им хъийиз жедеч
"Я думал, вы работаете.","За фикирнай , куьне кlвалахзава."
"Я не знаю, какую купить.",ЗАЗ чизвач гьим къачудат1а
Она закрыла за собой дверь.,Ада вичин гуьгъунал агална рик|ин.
"Мой брат такой же высокий, как и я.",Зи стха зун хьтин кьакьанди я.
Хочешь почитать?,К|вазани к|елиз?
"Кто рано встаёт, быстрей устаёт.",Фад къарагъайди фад галат жеда.
Том и Джон - братья Мэри.,Томни Джон Мэридин стхаяр я.
Люксембург - очень маленькая страна.,Люксембург- гъвечlи гьакумат я
Можно спросить у тебя кое-что странное?,Вагай са гаф хабар кьуртӀа жедани ?
Повесь эту картину на стену.,Куьсара и шикил цлал
Они не обнаружат ничего необычного.,Абуруз чир жедач са зат!ни гьахьтин туширди
Я займу тебе место в первом ряду.,За ваз сад лагьай жергеда чка кьада.
У Тома есть ключ от квартиры Мэри?,Томав Мэридин кӏвалин куьлег гвани?
Иди в кровать.,Месел вач
Да. Вы абсолютно правы.,Эхь. Куьн гзаф гьахълу я
Том очень похож на тебя в молодости.,Том жегьил чӏаван ваз ухшар я
Буду рада прийти.,Зун шад я къвез
"Я знал, что мне не стоило это есть.","Заз чизатир, за им тlуьна кlан тийизади"
Вы полюбите его.,Квез ам кlан жеда
Я пришла поговорить с тобой.,Зун вахъ галаз рахаз атанва.
Мы обе богаты.,Чун кьведни девлетлу я
Они не здесь.,Абур ина авач
Послали за доктором.,Ракъурна духтур гъиз.
Мне больше нечего было сказать.,ЗАЗ Мад лугьудай гаф амач.
Поверните налево.,Чапла патакъ элкъуьра
"Толпа закричала, когда он забил гол.",Ада гол ягъайла гап!алди гьарайна
Вы знаете какие-нибудь хорошие рестораны поблизости?,Ваз мукьварал са хъсан тlуьн недай чка чидани?
Я был внезапно разбужен громким звуком.,"Садлагьана, зун къати ванци ахварай авудна."
"Я сделаю, как вы просите.","Куьне гьик| т|алабзват|а, за гьак| ийида"
Мы все болели за Тома.,Чна вирида Томахъ дерт чlугвазвай.
Ты должен меня слушать.,Ваз заз яб гуз кIанда
Что ты ему говорил?,Вуна вуч лагьана адаз?
"Что ты хочешь, чтобы я сказал Тому?","вуч к|анза ваз, за лагьана Томаз?"
Я без очков ничего не вижу.,Заз очкияр алачиз зат1ни аквазвач
Ты упомянул мою книгу?,Вуна зи ктабдин т|вар кьунани?
Под мостом пожар.,Муькъуьн к1аник ц1ай кьунва
Соседи меня ненавидят.,Къуншириз зун так1ан я
Это изменило мою жизнь.,Ида зи уьумьур дегишарна.
"Не исключено, что её кто-то преследовал.","Ихтибар авач, адан гуьгъуьна са в уж ят!ани авай"
Встань на секунду.,Са легьзеда къарагъ
Почему ты не помогла Тому?,Вучиз вуна Томаз куьмекнач?
Том тоже так сказал.,Томани гьак| лагьана
"Я хочу и тот, и этот.",Заз имани к|анзава ва гьамани
"По-моему, Вы единственная, кто верит Тому.",Зачиз вун сад я Томаз ягъазвайди
Я правда очень люблю Бостон.,Заз Бостон дуьз рикӀивай гзаф кӀанда.
Мой вопрос не в этом.,Зи суал идакай туш
"Если ты счастлива, я счастлив.","Вун шад ят|а, зуни шад я"
Они принудили нас к подчинению.,Абуру чун муьтlуьгъ хьуниз мажбурарна
"Я не сказал Тому, почему не хочу, чтобы он ездил со мной в Бостон.",За Томаз лагьанач: вучиз ам захъ галаз Бостондиз атана кӏанзавачтӏа
"Сьюзи не смогла поучаствовать в игре, потому что чувствовала себя не очень хорошо.","Сьюзидивай къугъуна уртахвал ийиз хьанач, вучиз лагьайтIа адан гьалар хъсанзавачир."
У тебя ещё есть время?,Ваз гьеле вахт аман?
"Позавтракав, я поспешил в школу.",Пакаман фу тIуьрдалай кьулухъ зун мектебдиз фена.
Я просто хочу жениться.,Заз гьакӏ мехъер ийиз кӏанзава
"Ты был с Томом, когда он сломал ногу?",Томан кӀвач хайила вун адахъ галайни?
Я спел эту песню несколько раз.,За и мани са шумудра лагьана
Это моя единственная пара рабочих перчаток.,Има заз авайни авачир са жуьт бегьлеяр я
Он простил сестру.,Ада гъил къачуна вахалай
Скажите нам всё!,Лагь чаз вири!
"И дня не проходит без того, чтобы я не думал о тебе.",За вакай фикир тавуна са югъни алатзавач.
Что ещё ты видишь?,Ваз мад вуч аквазва
Ты выглядишь очень счастливым.,Вун лап шаддиз аквазва.
Я буду доверять тебе.,За ихтибар ийида ваз.
Это наше.,Им чид я
Том и Мэри сажали морковь.,Томани Мэриди казарар цвазвай
Ты должен нас предупредить.,Вуна чаз виликамаз хабар гана кIанда.
Давайте обсудим это сейчас.,Чина и сяаатда меслят ийин.
"Возьмите ещё один, если хотите.","Къачу мад сад, кlанзаз хьайитla"
"Я знаю, из-за чего они погибли.",Абур вучиз кьенатӀа заз чизва.
"Думаю, Том тебе понравится.",ЗАЗ чиз ваз Том бегенмиш жеда.
Вам надо немного отдохнуть.,Куьне са герен ял ягъ
"Он сказал мне, что плакал.","Ада заз лагьана,ам ишехьзавай"
Мэри родилась слепой.,Мэри буьркьуьди яз хьана.
Том опять видел Мэри.,Томаз мадни Мэри акунвайди тир.
С Вами плохо обращались?,Квех пис гелкъвенан?
Кто дал тебе разрешение?,Ни гана ваз эхтияр?
Он с головы до ног перепачкался в краске.,АМ кlвачелай кьилел кьван ширедай хьанвай
"Ты веришь тому, что сказал Том?","Вун ягъазвани лагьай гафарихъ,Тома лагьай"
"Передай им, что мы счастливы.","Абуруз лагь хьи, чун хушбахт я."
Том дружит со всеми.,Тома виридахъ галаз дуствал ийизава
Мне сегодня надо поработать.,За къе кӀвалахна кӀанзава.
На заднем сиденье никто не сидел.,Кьулухъ галай сиденье дал садни ацукьнавачир
Я чищу зубы после еды.,За сарар михьизвайдия фу тlуьрдлай къулухъ.
Что ты пытаешься сделать?,Вун вуч ийиз алахънва?
Он ненавистный.,Ам  дакӏанди я.
"Том сказал, что он тоже это сделает.","Томди лагьана хьи, адани им ийида."
Как тебе Нью-Йорк?,Гьик1 я ваз Нью-Йорк?
Ты никогда меня об этом не спрашивал.,Вуна загай садрани хабар кьурди туш адакай
Я всегда готов вам помочь.,Зун гьамиша  гьазур я квез куьмек гуз.
Сколько вас не будет?,Куьн гьикьван вахт авачир.
В прошлом году снега не было.,Алатай йисус жив авачир
"Мэри симпатичная. - ""Элис тоже"".",Мэри иер я . - Элисни
Я с трудом запоминаю имена.,За тIварар четинвилелди рикIел хуьзва
На рану надо наложить швы.,Хирел гъалар эцигна к1ан я
"Когда твоя сестра была в твоём возрасте, она уже была замужем.",Ви вах ви яшара авайла гъуьлуьк квай
Я обнаружил собаку Тома в парке.,Заз Томан киц| паркда акуна
Посмотрите на того кота.,Килига атӏа кациз
Он был объявлен банкротом.,Ам банкрот хьанвай кас хьиз лагьана
"То, что ты говоришь, не имеет для меня никакого смысла.",Вуна лугьузвай гафарин заз са метлебни авач.
Он нам нравится.,Ам чаз бигельмиш жезва
"Хотите, я пойду с ними?","Кӏандатӏа, зун фидан абурухъ галаз?"
"Уходя, не забудь выключить всё освещение.","ЭкъечӀдайла, экв хкудиз рикӀелай алудмир"
"Футбол – это спорт, который я предпочитаю.",Футбол - ам за вине кьазвай спорт я.
Том помогает им.,Тома абуруз куьмекзава
"По-моему, я этого парня где-то раньше видел.","Заз чиз, заз и гада гьинай ятIани акунай"
Зачем вы ему сказали?,Куьне адаз вучиз лагьанай?
"Том ждёт, когда Мэри придёт домой.","Том акъвазнава, Мэри кӀвализ хкведалди"
"Том - самый толстый человек из тех, что я знаю.",Заз чизвай ксарикай Том виридалайни куькди я.
Тебя когда-нибудь кусала собака?,Вун мус ятӀани кицӀи кӀаснаван?
Не уезжай из города.,Хъфимир шегьердай.
Том снова что-то сломал?,Тома мад са вуч ят1ани ханан?
Том должен был всё сам делать.,Тома вири вичи авуна к1анзавайтир
"Я знаю, что должен был сначала позвонить.",За сифте зенг ягъана кӀанзавай тир чӀал заз чизва.
Давай сделаем по-моему.,Ша за лагьайвал ийин.
"Скажи ей, чтобы ни с кем не разговаривала.","Адаз лагь, садахгалазни рахун тавурай"
Ты ненадёжный человек.,Вун ихтибарсуз инсан я
Вы ходили сегодня в школу?,Куьн къе школадиз фенвайди тирни?
"Том сказал мне, что он потерялся.",Тома лагьана заз вич квахь авуна
Я всегда вас ненавидела.,Заз куьн гьамиша акуна кlандачир
Кена не было тут с утра.,Кен ина укьнелла авачир
В понедельник днём Том был дома.,Ислен юкъуз Том к|вале авай.
Прямо сейчас у меня нет на это времени.,заз авач вахт иссятда
Получи!,Хъачу!
Мне нужно комнату.,Заз кӀвал герек я.
Сначала мне не понравилось.,Сифте заз бегенмиш хьанвачир
Вы не психолог?,Куьн психолог тушни?
Том велел мне замолчать.,Тома заз кис лагьай буйругъ гана.
Том подстрелил медведя.,Тома сев яна.
Они злые.,Абурук хъел ква
Тебе больше весна нравится или осень?,Ваз гатфар пара кlандани тахьайтlа зул
"Мы просто не знаем, что это значит.","Чаз чизвач, им вуч лагьай гаф ятlа"
Я вышел из дома в семь.,Зун сятдин иридаз кӀваляй экъечӀна.
Он хочет есть.,Адаз нез кӀанзава.
Ты мог бы меня предупредить.,Вавай жедай заз вилик кмаз хабар гуз
Именно.,ГьакIкIа
"Они знают, чего я хочу.",Абриз чизва заз вуш канзвата
"Смотрите, как я это делаю!",Килиг за ийизавал
Вы нашли ключи?,Квез жагъанан куьлегар?
Том часто коверкает имена.,Тома гафар ч1ур ийизва
"Я могу тебе что-нибудь приготовить, если ты голодный.",Ваз гишин ятlа са вуч ятlани гьазурда за.
Что ты думаешь о регги?,Вуна реггидикай вуч фикирзава?
Обычно я крепко сплю.,Зун адет яз кlевидаказ ксуда.
Что ещё ты можешь мне рассказать?,Ваз заз мад лугьудай гаф авани?
"Пожалуйста, не открывайте окно.",Ваз минет я ахъаймир Дак|ар
Она не захотела танцевать со мной.,Адаз кӏан хьанач зах галаз кьуьл ийиз.
Что тебя смешит?,Ваз квел хъуьруьн къвезва?
Куда вы положили мою книгу?,Куьне зи ктаб гьина туна?
Ты ничего не видишь.,ваз са зат1ни аквазвач
Кому ты дашь книгу?,Вуна китаб нив вугуда
Том и Мэри провели медовый месяц в Австралии.,Томани Мэриди верц1и варз Австралийда акъудна.
Господь дает нам жён чаще всего совсем непохожих на нас.,Алланьди пара ч1авуз чаз ухшар авачир папар гуда
Я ещё молодой.,Зун гьеле жигьил я.
Кофе за мой счёт.,Кофе зи патай.
Там произошло ДТП.,Ана ДТП хьанва.
У Тома не очень много друзей в Бостоне.,Томаз Бостонда акьван гзаф дустар авачир
"Я знаю, когда вовремя уйти.",Заз вахтунда хъфиз чида.
Я буду с вами честна.,Зу квехъ галаз михьи жеда
"Нет, я с ним не спал.","Ваъ, зун адахъ галаз ксай туш"
Мой французский ужасен.,Зи француз ч|ал пис я
Больше никогда не буду его слушать.,Мад садрани адан чIалаз килигдеч
Том обычно моет посуду.,Тома гьамиша къапар чихизава.
Вы с ней об этом говорили?,Куьне адахъ галаз идакай раханан?
Моя лошадь любит яблоки.,Зи балкӏандиз кӏанда ичер.
"Вы знаете, какие у Тома планы?",Квез Томаз вуч фикирар ават1а чизвани?
"Он шёл на цыпочках, чтобы никто не услышал.","Садазни ван татуй лугьуз, ам кIвачин тупIарал физвай."
Мне скрывать нечего.,Заз чуьнуьхардай затl авач
Как ты можешь помочь им?,Вавай абруз гьикӀ куьмекиз жеда?
Что произошло двадцатого октября?,къад лагьай октябрь диз вуч гьанва?
Она ещё не пришла.,Ам гьелелиг атанвач
Я рада видеть вас счастливыми.,Зун шад я ви бахтлувилел.
Я так и не узнал почему.,Заз гьак!а чир хьанач вучиз ят!а
"Том сказал, что ему холодно.",Том лагьанва хьи адаз мекьи я.
"Том знает, что ты любишь Мэри?","Томаз чизан,ваз Мэри к1анзади?"
У Тома машина горит.,Томан машин кузва.
"Том не такой умный, как вы.",Том куьн кьадар акьул авайди туш.
Люди младше 18 лет не могут жениться.,Ц1емуьжуьд йис тахьанвай инсанривай энвемлиш жедай эхтияр авач
У Тома ведь есть работа?,Томаз к1валах ава кьван?
Тому нравится чинить вещи.,Томаз затIар туькIуьриз кIандайди я.
